date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:29	0/0	---M--	302	error ('Moved%20Temporarily')	text/plain	date:Fri,%2011%20Jan%202019%2022:57:22%20GMT	https://my.navyfederal.org/NFOAA_Auth/login.xhtml	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/login.xhtml	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:30	22257/22257	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/window/popupLayer.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/window/popupLayer.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:31	21273/21273	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/window/window.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/window/window.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/resetpassword.xhtml)
17:57:33	6054/6054	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%226054-1537453834000%22	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/dev/enrollment-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js.xhtml?ln=js	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/dev/enrollment-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js8490.js	(from https://my.navyfederal.org/NFOAA_Auth/enrollment.xhtml)
17:57:37	284/284	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:30%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/icon-x-off.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/icon-x-off.html	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:38	284/284	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:31%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/clear.gif	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/clear.36.delayed	(from https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/default.css.xhtml?ln=openfaces&ofver=3.1.EA1.938)
17:57:42	282/282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:35%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/timetable/reservedTimePattern.gif	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/timetable/reservedTimePattern.gif	(from https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/default.css.xhtml?ln=openfaces&ofver=3.1.EA1.938)
17:57:46	284/284	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:39%20GMT	https://my.navyfederal.org/NFOAA_Auth/GET	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/GET	(from https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/jsf.js.xhtml?ln=javax.faces)
17:57:49	282/282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:42%20GMT	https://my.navyfederal.org/javax.faces.resource/jsf.js?.*ln=javax.faces	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/javax.faces.resource/jsf7710.js	(from https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/jsf.js.xhtml?ln=javax.faces)
17:57:50	14411/14411	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Jan%202019%2022:57:43%20GMT	https://my.navyfederal.org/NFOAA_Auth/login.jsp?sto=t	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/loginec42.html	(from https://my.navyfederal.org/NFOAA_Auth/resources/js/dev/app-f3c7ff68bced30b6bd7a7a5b62aa7ff4.js)
